date,ticker,simfinid_x,open,high,low,close,adj._close,volume,dividend,shares_outstanding,simfinid_y,company_name,industryid,isin,end_of_financial_year_(month),market,main_currency,ma_5,ma_20,volatility_10,price_movement
2020-03-24,SEEK,660635,0.0,0.0,0.0,0.0,0.0,700000,0.0,8471034676.0,660635,"THEDIRECTORY.COM, INC.",101002.0,Unknown,11.0,us,USD,13.225999999999965,40.952000000000005,34.94739023796267,1
2020-03-24,TSLA,56317,31.82,34.25,31.6,33.67,33.67,343427550,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,7.975999999999966,42.6355,24.376982882310323,1
2020-03-24,AMZN,62747,97.58,97.75,95.02,97.0,97.0,142941600,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,26.13399999999997,44.704,34.679141425358324,0
2020-03-24,SANP,660201,0.0,0.0,0.0,0.0,0.0,92210,0.0,422346953.0,660201,SANTO MINING CORP.,101003.0,Unknown,7.0,us,USD,26.13399999999997,34.039,34.679141425358324,1
2020-03-24,SPY,1072401,234.42,244.1,233.8,243.15,226.68,233038623,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,71.46999999999997,40.758,72.74149874727631,0
2020-03-24,TGGI,13511458,0.0,0.0,0.0,0.0,0.0,41406834,0.0,48963000.0,13511458,"Trans Global Group, Inc.",104002.0,Unknown,12.0,us,USD,71.46999999999997,40.758,72.74149874727631,0
2020-03-25,HCMC,15585628,0.0,0.0,0.0,0.0,0.0,13045003,0.0,48963000.0,15585628,Healthier Choices Management Corp.,102001.0,US42226N1090,12.0,us,USD,64.73599999999996,40.758,73.59609594114201,1
2020-03-25,SPY,1072401,244.87,256.35,239.75,246.79,230.07,297989659,0.0,48963000.0,1072401,SPDR S&P 500 ETF TRUST,Unknown Industry,Unknown,12.0,us,USD,91.34999999999997,52.2615,94.48837115986517,0
2020-03-25,AMZN,62747,96.03,97.51,94.29,94.29,94.29,129581460,0.0,9956208880.0,62747,AMAZON COM INC,103002.0,US0231351067,12.0,us,USD,110.20799999999997,56.711,92.6621389121672,0
2020-03-25,TSLA,56317,36.35,37.13,34.07,35.95,35.95,318341175,0.0,2720123790.0,56317,Tesla,103005.0,US88160R1014,12.0,us,USD,72.06199999999997,57.061,90.39304007130927,0
